,states,x,y
0,Andhra Pradesh,-90.0,-164.0
1,Assam,169.0,84.0
2,Arunachal Pradesh,222.0,128.0
3,Bihar,54.0,73.0
4,Goa,-178.0,-155.0
5,Gujarat,-231.0,17.0
6,Jammu and Kashmir,-150.0,282.0
7,Jharkhand,33.0,25.0
8,West Bengal,90.0,10.0
9,Karnataka,-164.0,-167.0
10,Kerala,-136.0,-252.0
11,Madhya Pradesh,-119.0,8.0
12,Maharashtra,-175.0,-68.0
13,Manipur,219.0,47.0
14,Meghalaya,156.0,66.0
15,Mizoram,205.0,18.0
16,Nagaland,238.0,78.0
17,Orissa,16.0,-44.0
18,Punjab,-168.0,184.0
19,Rajasthan,-215.0,96.0
20,Sikkim,116.0,113.0
21,Tamil Nadu,-103.0,-248.0
22,Tripura,173.0,28.0
23,Uttarakhand,-85.0,176.0
24,Uttar Pradesh,-69.0,106.0
25,Haryana,-144.0,152.0
26,Himachal Pradesh,-126.0,213.0
27,Chhattisgarh,-31.0,-19.0
28,Telangana,-82.0,-101.0
29,Delhi,-116.0,138.0
30,Lakshadweep,-225.0,-256.0
31,Puducherry,-63.0,-227.0
33,Andaman and Nicobar Islands,184.0,-236.0